Origin,Destination,Distance (km),Travel Time (hours),Bus Number,Departure Time,Intermediate Stops
Birmingham,Newcastle,330,2.3,CIF502,12:39,"Rotherham, Derby, York, Belfast, Inverness"
Birmingham,Southampton,353,4.7,QAS106,10:04,Middlesbrough
Birmingham,Portsmouth,467,0.6,UIG573,21:03,"Bedford, Cardiff, Peterborough"
Birmingham,Nottingham,212,2.1,JSV739,23:07,"Coventry, Newcastle"
Birmingham,Brighton,158,5.2,NOW643,19:43,Warrington
Birmingham,Leicester,239,1.1,NJN465,04:08,
Birmingham,Oxford,83,0.9,JFN213,08:42,"Slough, Stoke-on-Trent, Reading"
Birmingham,Cambridge,236,3.8,MEF890,01:12,"Edinburgh, Stoke-on-Trent, Blackpool"
Birmingham,York,458,4.9,HXA338,22:24,"Belfast, Birmingham"
Birmingham,Aberdeen,221,3.2,MEN432,11:10,"Birmingham, Cardiff, Chelmsford, Inverness"
Birmingham,Dundee,358,2.4,MFJ248,05:38,"Aberdeen, Glasgow, Coventry"
Birmingham,Inverness,142,0.5,HKT431,16:33,"Portsmouth, Huddersfield, Dundee, Luton, Colchester"
Birmingham,Exeter,161,2.8,VBO815,03:50,"Nottingham, Chelmsford, Colchester, Dundee"
Birmingham,Plymouth,388,3.7,SJQ231,21:43,"Cardiff, Liverpool, Bedford"
Birmingham,Swansea,416,4.6,BNA857,05:09,"London, Inverness, Manchester, Edinburgh"
Birmingham,Newport,409,1.9,LYE618,03:59,
Birmingham,Coventry,262,4.5,SNW582,16:55,
Birmingham,Stoke-on-Trent,371,2.5,XAA244,10:06,Portsmouth
Birmingham,Wolverhampton,491,3.0,LAB125,11:51,"Stoke-on-Trent, Blackpool, Derry, Edinburgh"
Birmingham,Derby,260,2.3,TUT273,01:05,"Inverness, Bristol"
Birmingham,Norwich,215,4.3,BAW454,17:44,"Middlesbrough, Derry, Colchester, Brighton, Basildon"
Birmingham,Blackpool,469,3.7,BYD380,21:02,"Stoke-on-Trent, Sheffield, Slough, Exeter"
Birmingham,Middlesbrough,387,4.2,EWU819,18:30,"Bristol, Belfast, Derby"
Birmingham,Bournemouth,218,3.0,SWX289,13:57,Edinburgh
Birmingham,Luton,73,3.2,INW781,12:01,"Manchester, Swansea"
Birmingham,Reading,332,1.7,YYM762,16:33,
Birmingham,Warrington,233,2.1,LJL524,14:37,"Brighton, Glasgow, Derby, Luton, Aberdeen"
Birmingham,Peterborough,222,1.9,MSV445,02:30,Derby
Birmingham,Huddersfield,207,3.2,VJN618,04:05,"Oxford, Warrington, Leicester, Swansea, Chelmsford"
Birmingham,Slough,479,6.0,ZTK904,15:49,"Glasgow, Basildon"
Birmingham,Basildon,261,1.9,NCF380,00:51,"Cardiff, Newport, Inverness, Basildon, Wolverhampton"
Birmingham,Chelmsford,196,4.9,VPK967,01:44,"Belfast, York, Luton, Inverness, Cambridge"
Birmingham,Colchester,129,5.0,WSJ900,18:44,"Luton, Exeter"
Birmingham,Derry,210,3.4,STC402,01:27,
Birmingham,Woking,295,4.0,JRD539,17:29,Bournemouth
Birmingham,Rotherham,201,3.9,CSW383,22:01,"Norwich, Sheffield, Inverness, Cambridge, Basildon"
Birmingham,Bedford,259,2.5,XTF284,20:19,Liverpool
Liverpool,London,465,6.0,BYK188,03:37,Belfast
Liverpool,Manchester,382,5.7,YLE428,22:37,"Huddersfield, Brighton, Norwich, Nottingham, Leeds"
Liverpool,Birmingham,76,5.3,MZF268,16:07,
Liverpool,Leeds,332,4.3,CES516,09:40,"Liverpool, Birmingham, Coventry, Leeds, Cambridge"
Liverpool,Sheffield,57,4.8,URJ250,13:03,"Manchester, Middlesbrough, Nottingham, Bedford, Sheffield"
Liverpool,Bristol,247,3.5,CMY283,17:28,"Liverpool, Blackpool, Sheffield, Belfast, Derry"
Liverpool,Glasgow,455,1.0,UHW663,19:15,"Bournemouth, Warrington"
Liverpool,Edinburgh,316,2.5,JOR608,16:10,"Dundee, Leeds, Derby, Chelmsford, Portsmouth"
Liverpool,Cardiff,140,3.3,ZTU272,20:07,
Liverpool,Belfast,423,4.4,XOH831,00:20,"Nottingham, Stoke-on-Trent, Newcastle, London"
Liverpool,Newcastle,398,1.6,UJC977,23:19,"Dundee, Southampton"
Liverpool,Southampton,271,5.8,LPK531,16:52,
Liverpool,Portsmouth,295,5.8,CRQ863,00:04,"Leicester, Brighton, Newport, Bristol"
Liverpool,Nottingham,402,4.8,UCH596,04:08,"Derry, Exeter"
Liverpool,Brighton,154,5.4,PHV590,20:33,Newport
Liverpool,Leicester,76,1.2,OYT403,05:43,"Reading, Leeds"
Liverpool,Oxford,341,5.1,XFJ898,16:26,"Glasgow, Basildon"
Liverpool,Cambridge,230,3.3,MVD692,21:24,Blackpool
Liverpool,York,287,4.2,ZFO170,00:48,"Birmingham, London"
Liverpool,Aberdeen,327,4.9,RNH377,02:09,
Liverpool,Dundee,241,1.0,OAU410,15:34,"Basildon, Warrington, Slough"
Liverpool,Inverness,402,0.9,RQP574,04:40,"Swansea, London, Woking, Huddersfield, Leeds"
Liverpool,Exeter,210,1.5,LWU960,02:12,"Bournemouth, Leicester, Bristol, Belfast"
Liverpool,Plymouth,129,5.9,FPD965,09:21,Stoke-on-Trent
Liverpool,Swansea,67,4.5,FUJ733,02:56,"Coventry, Stoke-on-Trent, Nottingham, Manchester, Peterborough"
Liverpool,Newport,250,0.6,VSO883,06:09,"Inverness, Leeds, Norwich"
Liverpool,Coventry,63,1.9,BFJ896,13:37,"Stoke-on-Trent, Dundee, Swansea"
Liverpool,Stoke-on-Trent,213,5.8,HUT776,15:04,
Liverpool,Wolverhampton,168,1.0,XOH990,03:19,"Huddersfield, Oxford, Middlesbrough, Glasgow"
Liverpool,Derby,313,0.7,BLO688,22:47,
Liverpool,Norwich,500,5.0,WBV687,11:52,Basildon
Liverpool,Blackpool,241,2.3,ASP605,00:12,
Liverpool,Middlesbrough,380,0.6,HAE510,01:37,"Huddersfield, London"
Liverpool,Bournemouth,203,2.0,BZQ976,09:41,Peterborough
Liverpool,Luton,229,0.7,CLG679,17:22,"Swansea, Belfast"
Liverpool,Reading,329,1.3,QFH774,17:34,"Aberdeen, Southampton, London"
Liverpool,Warrington,481,5.2,SKH830,14:17,
Liverpool,Peterborough,138,5.2,EBR507,08:35,"Aberdeen, Coventry"
Liverpool,Huddersfield,299,0.9,NSL675,00:06,"Oxford, Reading, Colchester"
Liverpool,Slough,358,2.9,KHF138,23:49,
Liverpool,Basildon,122,2.4,QBS878,15:04,"Aberdeen, Edinburgh, Inverness, Luton, Warrington"
Liverpool,Chelmsford,280,0.6,SVA324,16:21,Luton
Liverpool,Colchester,353,4.4,OFD985,18:22,Cambridge
Liverpool,Derry,213,0.7,NAK892,21:30,"Woking, Newcastle, Bournemouth, Huddersfield"
Liverpool,Woking,405,1.9,WKR484,08:03,"Cambridge, Luton, Glasgow, Bedford, Peterborough"
Liverpool,Rotherham,392,2.2,EGR961,03:08,Bristol
Liverpool,Bedford,401,5.4,WFX663,20:44,
Leeds,London,125,5.8,BMO749,13:03,
Leeds,Manchester,143,4.4,EAV636,10:23,"Derby, Glasgow, Warrington"
Leeds,Birmingham,404,3.9,NHI382,03:01,Huddersfield
Leeds,Liverpool,317,2.1,PAL138,20:38,"Southampton, Luton, Glasgow, Bristol, Blackpool"
Leeds,Sheffield,74,5.2,VRC951,03:14,Swansea
Leeds,Bristol,316,5.0,KSZ583,03:12,York
Leeds,Glasgow,466,2.5,TZZ503,09:07,Huddersfield
Leeds,Edinburgh,195,0.6,HYD233,07:45,"Reading, Derry"
Leeds,Cardiff,231,5.8,KXB893,15:43,
Leeds,Belfast,421,2.5,DYM782,20:43,Derby
Leeds,Newcastle,148,5.7,MHX123,03:56,"Glasgow, Newport, Huddersfield, Birmingham, Plymouth"
Leeds,Southampton,360,2.1,NKY159,05:18,"Liverpool, Chelmsford, Huddersfield, Plymouth"
Leeds,Portsmouth,89,4.4,ERP554,07:23,
Leeds,Nottingham,315,4.3,CVD303,13:54,"Liverpool, Sheffield, Blackpool"
Leeds,Brighton,409,1.9,CBF758,13:12,
Leeds,Leicester,423,4.0,URT901,05:43,"Nottingham, Huddersfield, Inverness, Newport, Luton"
Leeds,Oxford,154,2.6,NTK322,00:01,"Belfast, Chelmsford, Rotherham, Bournemouth, Bedford"
Leeds,Cambridge,436,1.8,MML949,04:50,Oxford
Leeds,York,267,4.5,DHT110,12:14,"Nottingham, Southampton, Brighton, Birmingham, Belfast"
Leeds,Aberdeen,248,3.9,TZW217,03:04,"Stoke-on-Trent, Belfast, Glasgow, Leeds, Coventry"
Leeds,Dundee,211,5.1,KUQ764,09:28,Edinburgh
Leeds,Inverness,180,1.4,WUM839,00:24,Newport
Leeds,Exeter,380,3.9,UHC834,11:32,Woking
Leeds,Plymouth,290,1.7,DFN768,23:32,"Peterborough, Southampton, Reading"
Leeds,Swansea,87,5.6,SRT954,03:51,"Liverpool, Birmingham, Exeter"
Leeds,Newport,361,5.2,XOP915,17:53,"Nottingham, Luton, Portsmouth"
Leeds,Coventry,452,5.5,FIR135,21:38,"Dundee, London, Coventry, Huddersfield, Derby"
Leeds,Stoke-on-Trent,495,2.7,ROS820,20:29,Colchester
Leeds,Wolverhampton,338,0.6,VKT252,22:07,"Huddersfield, Inverness, Rotherham, Brighton"
Leeds,Derby,198,4.8,GGB777,10:08,"Inverness, Aberdeen, Swansea"
Leeds,Norwich,141,3.3,DBF492,13:52,Bournemouth
Leeds,Blackpool,420,0.8,VFP189,14:40,"Liverpool, Derby, Basildon, Leicester"
Leeds,Middlesbrough,341,4.2,LWP999,09:57,
Leeds,Bournemouth,399,5.4,UEE142,23:18,"Slough, Inverness"
Leeds,Luton,162,1.5,ISS326,02:52,
Leeds,Reading,385,0.9,OXH586,00:17,"Inverness, Nottingham"
Leeds,Warrington,413,2.9,ZVZ482,15:30,
Leeds,Peterborough,451,1.8,RNV714,04:15,"Stoke-on-Trent, Edinburgh, Inverness"
Leeds,Huddersfield,353,2.8,JSF140,07:40,"Derby, Manchester, Derry, Southampton, Inverness"
Leeds,Slough,442,1.2,TRD530,17:39,
Leeds,Basildon,230,2.0,DGW374,21:08,"Birmingham, Colchester"
Leeds,Chelmsford,137,0.7,SAL601,14:01,"Cambridge, Slough, Stoke-on-Trent"
Leeds,Colchester,490,4.9,PCE503,11:38,
Leeds,Derry,471,3.5,MAY672,02:44,"Luton, Glasgow, Norwich, Newport"
Leeds,Woking,479,5.3,TUG263,03:21,"York, Edinburgh, Luton, Bristol"
Leeds,Rotherham,170,1.8,UXG286,01:08,
Leeds,Bedford,410,1.9,THT459,07:02,"Rotherham, Brighton, Plymouth"
Sheffield,London,100,2.4,ZVE581,22:02,Liverpool
Sheffield,Manchester,323,1.3,LNJ809,08:54,"Sheffield, Derry, Warrington, Leicester, Woking"
Sheffield,Birmingham,288,1.1,PLY269,11:45,"Glasgow, Wolverhampton, Coventry, Derby"
Sheffield,Liverpool,293,0.9,QPX316,01:46,"Chelmsford, Peterborough, Warrington, Coventry"
Sheffield,Leeds,205,1.6,FHS885,22:10,"Oxford, Glasgow"
Sheffield,Bristol,330,1.4,OAG942,23:22,"Birmingham, Colchester, Inverness"
Sheffield,Glasgow,148,4.8,NSL634,07:55,"Portsmouth, Middlesbrough, Derby, Blackpool, Plymouth"
Sheffield,Edinburgh,471,2.5,UNT912,17:04,
Sheffield,Cardiff,436,1.0,RMA119,02:03,York
Sheffield,Belfast,202,4.0,ATM170,05:19,"York, Cardiff"
Sheffield,Newcastle,485,3.8,JNZ914,21:24,"Blackpool, London, York, Inverness"
Sheffield,Southampton,137,3.6,BWB110,02:40,"Huddersfield, Woking, Middlesbrough, Leeds, Derry"
Sheffield,Portsmouth,279,4.1,XSH708,08:35,Southampton
Sheffield,Nottingham,93,2.8,PVU342,01:25,"Inverness, Luton, Huddersfield, Liverpool, Derby"
Sheffield,Brighton,275,2.2,DIH662,15:37,
Sheffield,Leicester,398,4.5,HOP285,08:08,
Sheffield,Oxford,448,2.2,ZWO689,12:00,"Peterborough, Blackpool, Bedford, Cardiff, Newcastle"
Sheffield,Cambridge,277,4.2,WNH478,05:36,"Bournemouth, Brighton, Cardiff"
Sheffield,York,462,3.8,DIN468,01:34,
Sheffield,Aberdeen,457,3.5,QSS597,22:14,Bristol
Sheffield,Dundee,253,5.4,QAZ448,16:09,Derry
Sheffield,Inverness,61,3.0,XCY995,20:02,"Cardiff, Manchester"
Sheffield,Exeter,295,3.1,KQQ691,18:17,Leicester
Sheffield,Plymouth,487,4.9,ZUQ386,18:46,Swansea
Sheffield,Swansea,249,3.7,FXF753,05:55,"London, Nottingham"
Sheffield,Newport,332,5.6,OSP806,21:11,
Sheffield,Coventry,291,0.6,BSW131,20:46,"Middlesbrough, Inverness, Woking, Sheffield, Edinburgh"
Sheffield,Stoke-on-Trent,341,5.1,OTQ935,04:17,"Inverness, London"
Sheffield,Wolverhampton,498,1.2,YNI179,02:31,"Slough, Sheffield, Huddersfield, Bristol"
Sheffield,Derby,204,4.9,NII547,18:52,Woking
Sheffield,Norwich,91,4.0,CZX737,04:24,"Stoke-on-Trent, Blackpool, Peterborough, Reading"
Sheffield,Blackpool,497,5.0,LSO362,18:10,"Nottingham, Belfast, Inverness, Slough, Exeter"
Sheffield,Middlesbrough,74,4.6,WNG938,08:07,"Exeter, Derby"
Sheffield,Bournemouth,238,3.3,JHJ529,14:35,"Plymouth, Warrington, Newcastle, Liverpool"
Sheffield,Luton,214,5.3,XKE799,08:54,"Woking, Brighton, Middlesbrough, Blackpool"
Sheffield,Reading,450,0.6,GOX396,17:28,"Derby, Exeter"
Sheffield,Warrington,383,4.7,YCB516,00:39,"Aberdeen, Nottingham, Leicester, Luton, Newcastle"
Sheffield,Peterborough,258,2.4,WDC908,21:31,
Sheffield,Huddersfield,435,3.3,NRF281,11:03,"Cambridge, Birmingham, Derby, Chelmsford, Wolverhampton"
Sheffield,Slough,321,5.2,ZZJ808,22:04,"Warrington, Manchester, Cardiff, Slough, Inverness"
Sheffield,Basildon,287,2.3,VTM760,05:59,"Blackpool, Basildon"
Sheffield,Chelmsford,231,3.5,OLK834,08:27,Belfast
Sheffield,Colchester,65,5.6,PQK970,09:26,Newport
Sheffield,Derry,199,2.9,OBH613,07:31,
Sheffield,Woking,469,5.6,EHG920,08:13,"London, Derry, Luton"
Sheffield,Rotherham,136,0.9,MVP394,12:17,Newcastle
Sheffield,Bedford,357,1.8,JXE519,18:46,"Exeter, Dundee"
Bristol,London,243,2.5,PJJ667,01:15,Liverpool
Bristol,Manchester,54,2.0,JWA709,11:56,Peterborough
Bristol,Birmingham,223,0.8,KDU429,00:58,
Bristol,Liverpool,67,4.9,CIA150,20:53,"Nottingham, Inverness, Bristol, Newport, Cardiff"
Bristol,Leeds,433,4.4,GUP304,15:52,"Warrington, Reading, Derby, Edinburgh"
Bristol,Sheffield,378,5.5,CPX128,18:51,"Warrington, Aberdeen, Belfast, Basildon, Newcastle"
Bristol,Glasgow,97,1.3,TSZ227,12:51,Plymouth
Bristol,Edinburgh,421,3.7,FPB715,23:27,"Huddersfield, Colchester, Reading"
Bristol,Cardiff,294,4.7,WTT497,07:30,"Birmingham, Newcastle, Cambridge, Middlesbrough, Bristol"
Bristol,Belfast,413,5.3,GSY323,21:07,"Glasgow, Luton, Norwich"
Bristol,Newcastle,323,4.9,WVS794,20:23,"Dundee, Leeds, Slough"
Bristol,Southampton,199,1.6,AZK299,23:07,"Exeter, Southampton, Middlesbrough, Oxford, Glasgow"
Bristol,Portsmouth,261,1.0,GEA275,05:27,"Manchester, Nottingham, Dundee, Brighton, Aberdeen"
Bristol,Nottingham,171,3.3,ZJW890,16:27,
Bristol,Brighton,455,5.2,AHO974,19:23,
Bristol,Leicester,398,5.6,CPF674,20:54,"Aberdeen, Swansea, Inverness, Portsmouth, Glasgow"
Bristol,Oxford,109,2.5,YCC879,19:01,"Cambridge, Colchester, Bedford"
Bristol,Cambridge,442,0.6,DNI259,22:13,"London, Birmingham, Oxford, Rotherham, Inverness"
Bristol,York,489,5.2,QIJ462,03:56,Birmingham
Bristol,Aberdeen,379,2.9,OAX995,21:22,"Portsmouth, Stoke-on-Trent, Newcastle"
Bristol,Dundee,61,5.4,ODY846,18:49,
Bristol,Inverness,446,1.0,ADY498,07:30,"Nottingham, Huddersfield, Sheffield"
Bristol,Exeter,434,2.1,NJZ362,05:02,Rotherham
Bristol,Plymouth,115,4.1,TJQ166,21:08,"Inverness, Reading, Basildon, Plymouth"
Bristol,Swansea,134,2.9,DUF515,19:01,"Aberdeen, Nottingham"
Bristol,Newport,460,3.3,BWG711,19:38,"Colchester, Basildon"
Bristol,Coventry,124,5.0,UZU181,08:27,"Liverpool, Warrington, Inverness, Southampton"
Bristol,Stoke-on-Trent,486,5.7,BLF596,07:03,
Bristol,Wolverhampton,280,2.8,QSY435,17:10,
Bristol,Derby,261,1.0,HJJ474,20:47,Birmingham
Bristol,Norwich,299,1.7,QIE164,16:30,"Manchester, Brighton, Middlesbrough"
Bristol,Blackpool,182,1.6,LVX194,14:50,"Leeds, Liverpool, Slough, Dundee, Reading"
Bristol,Middlesbrough,187,5.5,LAA640,10:01,"Blackpool, Leicester, Inverness, Reading"
Bristol,Bournemouth,150,2.8,UEQ503,05:15,"Rotherham, Stoke-on-Trent, Cambridge, London"
Bristol,Luton,204,2.1,IXN455,07:59,"Stoke-on-Trent, Basildon"
Bristol,Reading,473,1.1,AMF313,19:52,"Belfast, Wolverhampton, Reading, Slough"
Bristol,Warrington,167,1.5,CVP806,08:35,Chelmsford
Bristol,Peterborough,447,3.4,QRO625,11:47,"Blackpool, Huddersfield, Plymouth"
Bristol,Huddersfield,471,4.5,LRW621,16:19,"Coventry, Dundee, Liverpool"
Bristol,Slough,459,2.3,BVJ111,17:11,Luton
Bristol,Basildon,136,1.5,DCC394,17:04,"Exeter, Newport, Middlesbrough, Aberdeen"
Bristol,Chelmsford,497,5.6,FJR854,02:48,London
Bristol,Colchester,127,4.1,RLQ157,13:14,
Bristol,Derry,376,4.3,CYV672,08:36,"Rotherham, Nottingham, Chelmsford, Aberdeen, Luton"
Bristol,Woking,276,3.1,BQK716,16:07,"Peterborough, Cardiff, Southampton"
Bristol,Rotherham,390,5.0,GVK761,11:58,"Bedford, Stoke-on-Trent, Slough, Southampton, Wolverhampton"
Bristol,Bedford,92,3.8,HMG882,09:25,"Derry, Woking, Birmingham, Warrington"
Glasgow,London,94,3.2,JMJ647,08:38,Bournemouth
Glasgow,Manchester,401,3.2,CSQ133,09:20,Glasgow
Glasgow,Birmingham,467,4.8,NFW643,12:41,
Glasgow,Liverpool,75,4.4,VIV272,08:53,Edinburgh
Glasgow,Leeds,218,1.5,GTV828,06:03,
Glasgow,Sheffield,494,2.7,PVF603,19:46,
Glasgow,Bristol,304,4.9,FOB359,10:42,"Cambridge, Oxford, Birmingham, Huddersfield"
Glasgow,Edinburgh,95,2.1,JXP705,05:38,"Stoke-on-Trent, Inverness, Newport, Blackpool"
Glasgow,Cardiff,258,2.6,XDQ498,19:41,"Middlesbrough, Huddersfield, Oxford, Colchester, Bedford"
Glasgow,Belfast,270,1.6,HXW964,21:45,"Peterborough, Edinburgh, Nottingham, Woking, Slough"
Glasgow,Newcastle,303,4.3,QRZ878,09:10,Newport
Glasgow,Southampton,392,3.8,YWL256,13:11,"London, Dundee, Newcastle, Oxford"
Glasgow,Portsmouth,131,4.5,ORP296,11:23,"Coventry, Bedford, York"
Glasgow,Nottingham,402,1.8,VIR369,21:10,"Swansea, Manchester, Glasgow, Oxford, Bedford"
Glasgow,Brighton,438,2.5,MQV408,23:31,Liverpool
